Grade;Cod;Descricao;UN;Inicial;Ent.;Ent.MCDD;Reserva;Trans.;Saidas;Sai.MCDD;Disp.;Res.Magali;Inic.Agend.;Ent.Agend.;Sai.Agend.;Disp.Agend.
01;000253;SU PT1 CX6     ;cx  ;0000119;0000000;0000000;0000000;000000; 000000; 000000; 0000119; 0000000;0000000;0000000;0000000; 0000000
01;000279;BC LN355 SP CX4;cx  ;0000003;0000000;0000000;0000000;000000; 000000; 000000; 0000003; 0000000;0000000;0000000;0000000; 0000000
01;000371;MZBR LN355 SP B;cx  ;0000051;0000000;0000000;0000000;000000; 000000; 000000; 0000051; 0000000;0000000;0000000;0000000; 0000000
01;000503;SU PT2 CX6     ;cx  ;0000576;0000100;0000000;0000000;000000; 000000; 000000; 0000676; 0000000;0000000;0000000;0000000; 0000000
01;000504;PC PT2 CX6     ;cx  ;0000808;0000000;0000000;0000000;000000; 000000; 000000; 0000808; 0000000;0000000;0000000;0000000; 0000000
01;000972;SK 300         ;Dz  ;0000178;0000000;0000000;0000000;000000; 000000; 000000; 0000178; 0000000;0000000;0000000;0000000; 0000000
01;000978;BC 300         ;Dz  ;0002945;0001296;0000000;0000000;000000; 000000; 000000; 0004241; 0000000;0000000;0000000;0000000; 0000000
01;000982;SK 600         ;Dz  ;0000148;0000000;0000000;0000000;000000; 000000; 000000; 0000148; 0000000;0000000;0000000;0000000; 0000000
01;000988;BC 600         ;Dz  ;0001090;0001680;0000000;0000000;000000; 000000; 000000; 0002770; 0000000;0000000;0000000;0000000; 0000000
01;001164;SUKITA UVA LT35;cx  ;0000200;0000000;0000000;0000000;000000; 000000; 000000; 0000200; 0000000;0000000;0000000;0000000; 0000000
01;001166;SUKITA UVA PT2 ;cx  ;0000108;0000000;0000000;0000000;000000; 000000; 000000; 0000108; 0000000;0000000;0000000;0000000; 0000000
01;001388;SK GFAVD1L 2,99;Dz  ;0000031;0000000;0000000;0000000;000000; 000000; 000000; 0000031; 0000000;0000000;0000000;0000000; 0000000
01;001695;BC GFAVD1L COM ;Dz  ;0000460;0000000;0000000;0000000;000000; 000000; 000000; 0000460; 0000000;0000000;0000000;0000000; 0000000
01;001743;AP GFAVD1L COM ;Dz  ;0000007;0000050;0000000;0000000;000000; 000000; 000000; 0000057; 0000000;0000000;0000000;0000000; 0000000
01;001898;BC L269SH15NP  ;cx  ;0000206;0000000;0000000;0000000;000000; 000000; 000000; 0000206; 0000000;0000000;0000000;0000000; 0000000
01;002006;ASUBZERO 600   ;Dz  ;0000020;0000000;0000000;0000000;000000; 000000; 000000; 0000020; 0000000;0000000;0000000;0000000; 0000000
01;002008;ASUBZERO LT350S;cx  ;0000157;0000000;0000000;0000000;000000; 000000; 000000; 0000157; 0000000;0000000;0000000;0000000; 0000000
